A Rolling Ball of Death	Rolling Death	"{""key"": 2791, ""value"": { ""casting_likelihood"": 2.02}}"
Abominable Snowman	Glacial Speed	"{""key"": 3866, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Child	Cold Vulnerability Other VI	"{""key"": 1065, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Child	Blade Vulnerability Other VI	"{""key"": 1132, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Slowness Other V	"{""key"": 1419, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Feeblemind Other V	"{""key"": 1467, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Vulnerability Other V	"{""key"": 233, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Magic Yield Other V	"{""key"": 284, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Life Magic Ineptitude Other V	"{""key"": 627, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Frost Bolt V	"{""key"": 73, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Flame Bolt V	"{""key"": 84, ""value"": { ""casting_likelihood"": 2.02}}"
Abyssal Shadow	Force Bolt V	"{""key"": 90, ""value"": { ""casting_likelihood"": 2.02}}"
Academy Wand	Focus Other I	"{""key"": 1427, ""value"": { ""casting_likelihood"": 2.02}}"
Academy Wand	Willpower Other I	"{""key"": 1451, ""value"": { ""casting_likelihood"": 2.02}}"
Academy Wand	Mana Conversion Mastery Other I	"{""key"": 659, ""value"": { ""casting_likelihood"": 2.02}}"
Acheran	Imperil Other II	"{""key"": 1323, ""value"": { ""casting_likelihood"": 2.02}}"
Acheran	Imperil Other III	"{""key"": 1324, ""value"": { ""casting_likelihood"": 2.02}}"
Acheran	Acid Streak III	"{""key"": 1792, ""value"": { ""casting_likelihood"": 2.02}}"
Acheran	Flame Bolt I	"{""key"": 27, ""value"": { ""casting_likelihood"": 2.02}}"
Acheran	Acid Vulnerability Other III	"{""key"": 523, ""value"": { ""casting_likelihood"": 2.02}}"
Acheran	Force Bolt I	"{""key"": 86, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Dual Wield Mastery V	"{""key"": 6200, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Finesse Weapon Mastery V	"{""key"": 6205, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Heavy Weapon Mastery V	"{""key"": 6210, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Light Weapon Mastery V	"{""key"": 6220, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Recklessness Mastery V	"{""key"": 6230, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Sneak Attack Mastery V	"{""key"": 6235, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Two Handed Combat Mastery V	"{""key"": 6240, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Dirty Fighting Mastery V	"{""key"": 6255, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Coordination V	"{""key"": 6265, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Endurance V	"{""key"": 6270, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon Quickness V	"{""key"": 6280, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Strength V	"{""key"": 6285, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Stamina V	"{""key"": 6290, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Critical Damage Boost V	"{""key"": 6295, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Critical Damage Reduction V	"{""key"": 6300, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Damage Boost V	"{""key"": 6305, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Assagai	Paragon's Damage Reduction V	"{""key"": 6310, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Axe	Bludgeoning Protection Self III	"{""key"": 1020, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Axe	Aura of Heart Seeker Self III	"{""key"": 1589, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Axe	Aura of Defender Self II	"{""key"": 1601, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Axe	Aura of Blood Drinker Self III	"{""key"": 1613, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Axe	Aura of Swift Killer Self I	"{""key"": 49, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Axe	Acid Protection Self III	"{""key"": 517, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Baton	Aura of Mystic's Blessing	"{""key"": 2117, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Baton	Major Creature Enchantment Aptitude	"{""key"": 2507, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Baton	Aura of Infected Spirit Caress	"{""key"": 3259, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Baton	Aura of Incantation of Defender Self	"{""key"": 4400, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Board with Nail	Aura of Heart Seeker Self V	"{""key"": 1591, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Board with Nail	Aura of Blood Drinker Self V	"{""key"": 1615, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Board with Nail	Aura of Swift Killer Self V	"{""key"": 1626, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Board with Nail	Minor Arcane Prowess	"{""key"": 2537, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Board with Nail	Aura of Blood Drinker Self I	"{""key"": 35, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Perseverance	"{""key"": 2061, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Hastening	"{""key"": 2081, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Aura of Cragstone's Will	"{""key"": 2101, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Aura of Atlan's Alacrity	"{""key"": 2116, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Major Missile Weapon Aptitude	"{""key"": 2505, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Major Strength	"{""key"": 2576, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Minor Coordination	"{""key"": 2579, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Minor Endurance	"{""key"": 2580, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Incantation of Endurance Self	"{""key"": 4299, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Incantation of Strength Self	"{""key"": 4325, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Recklessness Mastery Self VI	"{""key"": 5832, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Bow	Major Summoning Prowess	"{""key"": 6126, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Broad Sword	Quickness Self VI	"{""key"": 1402, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Broad Sword	Major Cooking Prowess	"{""key"": 2506, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Broad Sword	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Cestus	Might of the Lugians	"{""key"": 2087, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Cestus	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Cestus	Aura of Incantation of Swift Killer Self	"{""key"": 4417, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Compound Bow	Perseverance	"{""key"": 2061, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Compound Bow	Aura of Atlan's Alacrity	"{""key"": 2116, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Compound Bow	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Compound Bow	Aura of Incantation of Swift Killer Self	"{""key"": 4417, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Compound Bow	Epic Arcane Prowess	"{""key"": 4684, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Compound Bow	Epic Impregnability	"{""key"": 4695, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Corsesca	Aura of Blood Drinker Self III	"{""key"": 1613, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Dagger	Aura of Blood Drinker Self IV	"{""key"": 1614, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Dagger	Aura of Swift Killer Self IV	"{""key"": 1625, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Dirk	Endurance Self VI	"{""key"": 1354, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Dirk	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Dirk	Aura of Incantation of Swift Killer Self	"{""key"": 4417, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Flamberge	Perseverance	"{""key"": 2061, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Flamberge	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Flamberge	Aura of Incantation of Defender Self	"{""key"": 4400, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Flamberge	Aura of Incantation of Heart Seeker Self	"{""key"": 4405, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Great Star Mace	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Great Star Mace	Epic Two Handed Combat Aptitude	"{""key"": 5034, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Great Star Mace	Incantation of Dirty Fighting Mastery Self	"{""key"": 5786, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Jitte	Aura of Heart Seeker Self II	"{""key"": 1588, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Jitte	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Jitte	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Jitte	Aura of Incantation of Defender Self	"{""key"": 4400, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Jitte	Aura of Incantation of Heart Seeker Self	"{""key"": 4405, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Jitte	Dual Wield Mastery Self VII	"{""key"": 5809, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Ken	Coordination Self VI	"{""key"": 1378, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Ken	Aura of Heart Seeker Self VI	"{""key"": 1592, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Ken	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Ken	Aura of Blood Drinker Self IV	"{""key"": 1614, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Ken	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Ken	Aura of Incantation of Heart Seeker Self	"{""key"": 4405, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Lancet	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Lancet	Aura of Swift Killer Self II	"{""key"": 1623, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Lugian Hammer	Quickness Self VI	"{""key"": 1402, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Lugian Hammer	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Lugian Hammer	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Lugian Hammer	Aura of Incantation of Swift Killer Self	"{""key"": 4417, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Morning Star	Coordination Self VI	"{""key"": 1378, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Morning Star	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Morning Star	Aura of Swift Killer Self II	"{""key"": 1623, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Morning Star	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Morning Star	Aura of Blood Drinker Self I	"{""key"": 35, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Aura of Infected Caress	"{""key"": 2096, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Epic Magic Resistance	"{""key"": 4704, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dual Wield Mastery V	"{""key"": 6200, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Finesse Weapon Mastery I	"{""key"": 6201, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Finesse Weapon Mastery II	"{""key"": 6202, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Finesse Weapon Mastery III	"{""key"": 6203, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Finesse Weapon Mastery IV	"{""key"": 6204, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Finesse Weapon Mastery V	"{""key"": 6205, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Heavy Weapon Mastery I	"{""key"": 6206, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Heavy Weapon Mastery II	"{""key"": 6207, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Heavy Weapon Mastery III	"{""key"": 6208, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Heavy Weapon Mastery IV	"{""key"": 6209, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Heavy Weapon Mastery V	"{""key"": 6210, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Light Weapon Mastery I	"{""key"": 6216, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Light Weapon Mastery II	"{""key"": 6217, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Light Weapon Mastery III	"{""key"": 6218, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Light Weapon Mastery IV	"{""key"": 6219, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Light Weapon Mastery V	"{""key"": 6220, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Recklessness Mastery I	"{""key"": 6226, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Recklessness Mastery II	"{""key"": 6227, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Recklessness Mastery III	"{""key"": 6228, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Recklessness Mastery IV	"{""key"": 6229, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Recklessness Mastery V	"{""key"": 6230, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Sneak Attack Mastery I	"{""key"": 6231, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Sneak Attack Mastery II	"{""key"": 6232, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Sneak Attack Mastery III	"{""key"": 6233, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Sneak Attack Mastery IV	"{""key"": 6234, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Sneak Attack Mastery V	"{""key"": 6235, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Two Handed Combat Mastery I	"{""key"": 6236, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Two Handed Combat Mastery II	"{""key"": 6237, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Two Handed Combat Mastery III	"{""key"": 6238, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Two Handed Combat Mastery IV	"{""key"": 6239, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Two Handed Combat Mastery V	"{""key"": 6240, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dirty Fighting Mastery I	"{""key"": 6251, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dirty Fighting Mastery II	"{""key"": 6252, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dirty Fighting Mastery III	"{""key"": 6253, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dirty Fighting Mastery IV	"{""key"": 6254, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dirty Fighting Mastery V	"{""key"": 6255, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dual Wield Mastery I	"{""key"": 6256, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dual Wield Mastery II	"{""key"": 6257, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dual Wield Mastery III	"{""key"": 6258, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Dual Wield Mastery IV	"{""key"": 6259, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Coordination I	"{""key"": 6261, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Coordination II	"{""key"": 6262, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Coordination III	"{""key"": 6263, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Coordination IV	"{""key"": 6264, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Endurance I	"{""key"": 6266, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Endurance II	"{""key"": 6267, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Endurance III	"{""key"": 6268, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Endurance IV	"{""key"": 6269, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon Quickness I	"{""key"": 6276, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon Quickness II	"{""key"": 6277, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon Quickness III	"{""key"": 6278, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon Quickness IV	"{""key"": 6279, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Strength I	"{""key"": 6281, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Strength II	"{""key"": 6282, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Strength III	"{""key"": 6283, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Strength IV	"{""key"": 6284, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Boost I	"{""key"": 6291, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Damage Boost II	"{""key"": 6292, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Damage Boost III	"{""key"": 6293, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Damage Boost IV	"{""key"": 6294, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Damage Reduction I	"{""key"": 6296, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Damage Reduction II	"{""key"": 6297, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Damage Reduction III	"{""key"": 6298, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Critical Damage Reduction IV	"{""key"": 6299, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Boost I	"{""key"": 6301, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Boost II	"{""key"": 6302, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Boost III	"{""key"": 6303, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Boost IV	"{""key"": 6304, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Reduction I	"{""key"": 6306, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Reduction II	"{""key"": 6307, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Reduction III	"{""key"": 6308, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Damage Reduction IV	"{""key"": 6309, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Stamina I	"{""key"": 6316, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Stamina II	"{""key"": 6317, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Stamina III	"{""key"": 6318, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nabut	Paragon's Stamina IV	"{""key"": 6319, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nekode	Aura of Defender Self IV	"{""key"": 1603, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nekode	Aura of Blood Drinker Self IV	"{""key"": 1614, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nodachi	Major Endurance	"{""key"": 2573, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nodachi	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Nodachi	Recklessness Mastery Self VII	"{""key"": 5833, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Partizan	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Partizan	Aura of Swift Killer Self I	"{""key"": 49, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Pike	Aura of Blood Drinker Self V	"{""key"": 1615, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Aura of Hermetic Link Self V	"{""key"": 1479, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Aura of Hermetic Link Self VI	"{""key"": 1480, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Aura of Defender Self VI	"{""key"": 1605, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Aura of Mystic's Blessing	"{""key"": 2117, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Nuhmudira's Blessing	"{""key"": 2287, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Aura of Infected Spirit Caress	"{""key"": 3259, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Aura of Incantation of Hermetic Link Self	"{""key"": 4418, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	Item Enchantment Mastery Self VI	"{""key"": 586, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Sceptre	War Magic Mastery Self VI	"{""key"": 634, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Short Sword	Aura of Blood Drinker Self VI	"{""key"": 1616, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Short Sword	Aura of Swift Killer Self V	"{""key"": 1626, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Spiked Club	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Spiked Club	Aura of Swift Killer Self II	"{""key"": 1623, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Spine Glaive	Aura of Elysa's Sight	"{""key"": 2106, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Spine Glaive	Aura of Incantation of Blood Drinker Self	"{""key"": 4395, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Spine Glaive	Incantation of Dual Wield Mastery Self	"{""key"": 5810, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Aura of Mystic's Blessing	"{""key"": 2117, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Aliester's Blessing	"{""key"": 2195, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Major Salvaging Aptitude	"{""key"": 3834, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Life Magic Mastery I	"{""key"": 6211, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Life Magic Mastery II	"{""key"": 6212, ""value"": { ""casting_likelihood"": 2.02}}"
Acid Staff	Paragon's Life Magic Mastery III	"{""key"": 6213, ""value"": { ""casting_likelihood"": 2.02}}"
